date,values,Termo Buscado,Data e Hora,Palavra Pivo,Num da Comp,Periodo
2018-07-24,52,DELL,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-25,49,DELL,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-26,46,DELL,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-27,46,DELL,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-28,39,DELL,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-29,34,DELL,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-30,48,DELL,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-31,48,DELL,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-01,48,DELL,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-02,48,DELL,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-03,48,DELL,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-04,39,DELL,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-05,38,DELL,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-06,50,DELL,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-07,51,DELL,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-08,49,DELL,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-09,48,DELL,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-10,52,DELL,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-11,47,DELL,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-12,37,DELL,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-13,52,DELL,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-14,57,DELL,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-15,50,DELL,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-16,47,DELL,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-17,47,DELL,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-19,52,SONY,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-20,55,SONY,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-21,57,SONY,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-22,57,SONY,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-23,57,SONY,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-24,56,SONY,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-25,55,SONY,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-26,49,SONY,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-27,55,SONY,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-28,65,SONY,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-29,55,SONY,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-30,54,SONY,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-31,54,SONY,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-01,52,SONY,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-02,47,SONY,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-03,51,SONY,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-04,61,SONY,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-05,57,SONY,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-06,51,SONY,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-07,56,SONY,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-08,54,SONY,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-09,55,SONY,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-10,54,SONY,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-11,65,SONY,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-12,63,SONY,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-13,55,SONY,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-14,54,SONY,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-15,56,SONY,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-16,52,SONY,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-17,46,SONY,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-19,55,AMAZON,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-20,58,AMAZON,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-21,57,AMAZON,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-22,60,AMAZON,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-23,64,AMAZON,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-24,57,AMAZON,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-25,59,AMAZON,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-26,56,AMAZON,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-27,60,AMAZON,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-28,57,AMAZON,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-29,61,AMAZON,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-30,64,AMAZON,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-07-31,60,AMAZON,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-01,60,AMAZON,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-02,61,AMAZON,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-03,62,AMAZON,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-04,61,AMAZON,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-05,57,AMAZON,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
2018-08-06,62,AMAZON,19/08/2018 14:23,GELADEIRA,2º Comparação,today 1-m
