Top,Assuntos Relacionadas,Values,Tipo,Termo Buscado,Data de Extração,Periodo
9,Best Buy,1,Empresa,AMAZON,22/08/2018 12:29,all
10,Computador pessoal,1,Assunto,AMAZON,22/08/2018 12:29,all
11,Amazon Prime Video,1,Assunto,AMAZON,22/08/2018 12:29,all
12,Amazônia,1,Floresta no Amazonas,AMAZON,22/08/2018 12:29,all
13,Livro digital,1,Encadernação do livro,AMAZON,22/08/2018 12:29,all
14,Amazon Appstore,0,Assunto,AMAZON,22/08/2018 12:29,all
15,Amazon EC2,0,Software,AMAZON,22/08/2018 12:29,all
16,Cupom de desconto,0,Assunto,AMAZON,22/08/2018 12:29,all
0,Lojas Americanas,100,Empresa,LOJAS AMERICANAS,22/08/2018 12:29,all
1,Casas Bahia,7,Empresa,LOJAS AMERICANAS,22/08/2018 12:29,all
2,Magazine Luiza,5,Companhia,LOJAS AMERICANAS,22/08/2018 12:29,all
3,Pontofrio,4,Empresa,LOJAS AMERICANAS,22/08/2018 12:29,all
4,Extra,3,Rede varejista,LOJAS AMERICANAS,22/08/2018 12:29,all
5,Ricardo Eletro,3,Empresa,LOJAS AMERICANAS,22/08/2018 12:29,all
6,Walmart,2,Companhia,LOJAS AMERICANAS,22/08/2018 12:29,all
7,Submarino,2,Tipo de embarcação,LOJAS AMERICANAS,22/08/2018 12:29,all
8,Shoptime,1,Empresa,LOJAS AMERICANAS,22/08/2018 12:29,all
9,Lojas Marisa,1,Assunto,LOJAS AMERICANAS,22/08/2018 12:29,all
10,Loja,1,Assunto,LOJAS AMERICANAS,22/08/2018 12:29,all
11,Casa & Video,1,Empresa,LOJAS AMERICANAS,22/08/2018 12:29,all
12,Carrefour,1,Empresa,LOJAS AMERICANAS,22/08/2018 12:29,all
13,Brinquedo,1,Assunto,LOJAS AMERICANAS,22/08/2018 12:29,all
14,Lojas Colombo,1,Assunto,LOJAS AMERICANAS,22/08/2018 12:29,all
15,Lojas CEM,1,Empresa,LOJAS AMERICANAS,22/08/2018 12:29,all
