date,values,Termo Buscado,Data e Hora,Palavra Pivo,Num da Comp,Periodo
2018-08-17,27,CONSUL,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-18,32,CONSUL,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-19,28,CONSUL,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-20,36,CONSUL,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-21,32,CONSUL,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-07-23,93,GELADEIRA,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-07-24,96,GELADEIRA,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-07-25,90,GELADEIRA,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-07-26,89,GELADEIRA,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-07-27,79,GELADEIRA,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-07-28,96,GELADEIRA,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-07-29,100,GELADEIRA,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-07-30,86,GELADEIRA,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-07-31,87,GELADEIRA,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-08-01,81,GELADEIRA,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-08-02,91,GELADEIRA,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-08-03,85,GELADEIRA,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-08-04,94,GELADEIRA,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-08-05,98,GELADEIRA,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-08-06,89,GELADEIRA,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-08-07,84,GELADEIRA,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-08-08,84,GELADEIRA,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-08-09,82,GELADEIRA,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
2018-08-10,80,GELADEIRA,23/08/2018 11:40,GELADEIRA,2º Comparação,today 1-m
